ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
hsa-miR-548c-5p+hsa-miR-548o-5p+hsa-miR-548am-5p,MIMAT0004806,miRNA,20,20,21.34,20,20,20
hsa-miR-548e-3p,MIMAT0005874,miRNA,20,20,20,20,20,24.3
hsa-miR-548g-3p,MIMAT0005912,miRNA,56.93,59.4,46.55,53.43,82.28,49.64
hsa-miR-548i,MIMAT0005935,miRNA,21.26,21.07,20,20,20,20
hsa-miR-548j-3p,MIMAT0026737,miRNA,102.19,97.03,54.07,78.79,39.29,66.95
hsa-miR-548j-5p,MIMAT0005875,miRNA,21.42,24.68,24.13,25.6,28.14,20
hsa-miR-548n,MIMAT0005916,miRNA,102.67,114.5,95.36,103.33,199.56,70.1
hsa-miR-548q,MIMAT0011163,miRNA,26.49,36.23,30.15,34.82,45.93,24.59
hsa-miR-548z+hsa-miR-548h-3p,MIMAT0018446,miRNA,74.36,81.91,44.47,57.01,30.87,57.96
hsa-miR-549a,MIMAT0003333,miRNA,46.92,50.32,42.42,56.95,96.65,38.12
hsa-miR-551b-3p,MIMAT0003233,miRNA,20,20,23.08,20,20,20
hsa-miR-556-3p,MIMAT0004793,miRNA,20,20,20,20,20,25.62
hsa-miR-561-5p,MIMAT0022706,miRNA,44.11,50.08,41.68,47.25,42.3,38.61
hsa-miR-570-3p,MIMAT0003235,miRNA,20,20,21.78,20,28.4,20
hsa-miR-574-3p,MIMAT0003239,miRNA,90.02,88.21,90.41,60.9,110.4,80.74
hsa-miR-574-5p,MIMAT0004795,miRNA,84.48,99.99,107.22,101.84,87.87,89.33
hsa-miR-576-5p,MIMAT0003241,miRNA,20,20,20,20,20,24.06
hsa-miR-579-3p,MIMAT0003244,miRNA,20,20,20,20,26.25,20
hsa-miR-582-3p,MIMAT0004797,miRNA,20.24,21.38,20,20,22.98,20
hsa-miR-585-3p,MIMAT0003250,miRNA,20,22.83,20,20,20,20
hsa-miR-587,MIMAT0003253,miRNA,20,20,20,23.94,20,20
hsa-miR-590-5p,MIMAT0003258,miRNA,33.61,38.16,35.23,40.32,48.8,31.7
hsa-miR-592,MIMAT0003260,miRNA,20,20,20,20,20,38.21
hsa-miR-597-5p,MIMAT0003265,miRNA,20,25.28,20,23.02,24.22,20
hsa-miR-598-3p,MIMAT0003266,miRNA,20,21.38,20,34.11,21.23,20
hsa-miR-603,MIMAT0003271,miRNA,68.31,83.35,54.21,58.36,64.53,44.28
hsa-miR-608,MIMAT0003276,miRNA,20,20,20,20,20,27.23
hsa-miR-612,MIMAT0003280,miRNA,20,20,20,20,20,24.01
hsa-miR-615-5p,MIMAT0004804,miRNA,20,20,20,20,20,21.29
hsa-miR-617,MIMAT0003286,miRNA,21.09,20.41,20,20,20,21.04
hsa-miR-619-3p,MIMAT0003288,miRNA,20,20,20,20,20,20.36
hsa-miR-627-5p,MIMAT0003296,miRNA,245.05,267.99,157.24,190.77,172.21,160.97
hsa-miR-644a,MIMAT0003314,miRNA,50.05,59.15,44.28,56.55,87.66,40.63
hsa-miR-649,MIMAT0003319,miRNA,20,20,20,20,20,28.28
hsa-miR-654-3p,MIMAT0004814,miRNA,20,20,20,20,20,36.89
hsa-miR-654-5p,MIMAT0003330,miRNA,20,20,20.66,21.13,20,22.14
hsa-miR-656-3p,MIMAT0003332,miRNA,20,21.07,25.79,21.58,24.75,20
hsa-miR-6720-3p,MIMAT0025851,miRNA,20,20,20,20,22.33,20
hsa-miR-6721-5p,MIMAT0025852,miRNA,26.76,20,27.78,45.53,20.8,27.51
hsa-miR-6724-5p,MIMAT0025856,miRNA,20,21.98,20.39,24.8,20,20
hsa-miR-758-3p+hsa-miR-411-3p,MIMAT0003879,miRNA,24.92,20,20,20,20,20
hsa-miR-761,MIMAT0010364,miRNA,20,20,20,35.13,20,20
hsa-miR-766-3p,MIMAT0003888,miRNA,20,20,20,20,20,22.91
hsa-miR-767-3p,MIMAT0003883,miRNA,20,20,20,20,20,20.36
hsa-miR-873-3p,MIMAT0022717,miRNA,20,20,31.07,46.6,23.25,20
hsa-miR-874-3p,MIMAT0004911,miRNA,24.52,28.34,20.4,24.5,27.8,20.68
hsa-miR-876-3p,MIMAT0004925,miRNA,20,20,20,20,20,20.6
hsa-miR-877-5p,MIMAT0004949,miRNA,20,26.15,22.7,22.02,20.26,26.27
hsa-miR-888-5p,MIMAT0004916,miRNA,22.18,27.09,20,24.8,20,24.39
hsa-miR-890,MIMAT0004912,miRNA,32.91,29.41,71.66,22.7,41.6,284787.62
hsa-miR-891b,MIMAT0004913,miRNA,20,20,20,22.01,20,20
hsa-miR-9-5p,MIMAT0000441,miRNA,20,20,20,20,20,20.03
hsa-miR-92a-3p,MIMAT0000092,miRNA,25.11,27.42,20,23.94,28.44,39
hsa-miR-92b-3p,MIMAT0003218,miRNA,20,20,20,36.53,20,20
hsa-miR-93-5p,MIMAT0000093,miRNA,125.75,105,103.79,79.27,84.79,95.44
hsa-miR-940,MIMAT0004983,miRNA,20,20,20,20,20,21.43
hsa-miR-944,MIMAT0004987,miRNA,43.6,48.35,39.49,47.87,69.32,37.25
hsa-miR-98-5p,MIMAT0000096,miRNA,154.47,143.9,153.18,138.63,98.34,144.84
hsa-miR-99b-5p,MIMAT0000689,miRNA,286.86,292.33,303.19,250.79,217.79,229.06
