ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
PPP2R2A,NM_001177591.1,mRNA,10.66,25.9,65.73,32.87,245.5,34.13
PPP2R2D,NM_001291310.1,mRNA,4.51,11.85,35.71,13.41,89.35,11.43
PRKCA,NM_002737.2,mRNA,10.07,26.74,96.92,30.09,218.78,24.95
PRKCB,NM_212535.1,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
PRKCD,NM_006254.3,mRNA,2.75,6.1,19.23,7.25,54.28,8.37
PRKCI,NM_002740.4,mRNA,11.05,21.76,95.72,14.89,280,35.65
PSEN1,NM_000021.2,mRNA,14.76,33.9,115.34,46.12,413.65,45.57
PTEN,NM_000314.4,mRNA,14.74,32.93,159.8,48.12,426.92,48.13
PTK2,NM_153831.2,mRNA,8.11,19.69,60.86,22.29,187.7,23.95
PXN,NM_001080855.1,mRNA,9.12,18.22,59.16,28.99,139.47,23.08
RAB13,NM_002870.3,mRNA,50.7,125.72,501.26,140.3,1425.19,152.73
RAC1,NM_198829.1,mRNA,30.98,75.04,98.06,67.13,774.84,102.27
RAC2,NM_002872.4,mRNA,0.73,1.66,4.67,1.61,8.81,2.34
RAC3,NM_005052.2,mRNA,0.77,1.63,3.76,1.64,11.54,2.52
RAF1,NM_002880.3,mRNA,7.14,17.15,53,21.43,108.43,19.38
RHOA,NM_001664.2,mRNA,27.2,58.74,163.63,64.55,673.3,79.07
ROCK1,NM_005406.1,mRNA,13.06,30.19,108.99,40.83,318.15,25.67
ROCK2,NM_004850.3,mRNA,18.29,44.27,151.04,61.75,461.18,56.2
RRAS,NM_006270.3,mRNA,4.66,10.19,25.89,11.26,47.64,17.74
RRAS2,NM_001102669.2,mRNA,13.08,15.39,102.01,36.2,284.19,23.1
SMAD2,NM_005901.5,mRNA,9.55,20.32,96.89,23.01,116.65,29.78
SMAD3,NM_005902.3,mRNA,23.37,56.58,149.91,55.16,354.95,58.81
SMAD4,NM_005359.3,mRNA,7.19,17.52,55.21,25.11,187.76,18.86
SOS1,NM_005633.2,mRNA,6.38,15.81,56.43,15.48,153.54,18.48
SOS2,NM_006939.2,mRNA,5.02,12.91,51.91,18.74,146.82,14.86
SPRY2,NM_005842.2,mRNA,7.6,24.36,44.36,25.43,118.01,33.01
SPTAN1,NM_003127.2,mRNA,19.97,35.58,157.6,56.22,423.89,64.77
SRC,NM_005417.3,mRNA,3.34,6.6,24.15,8.81,89.69,9.46
SYMPK,NM_004819.2,mRNA,3.46,7.35,29.91,10.21,79.84,9.18
TCF7,NM_201633.2,mRNA,0.16,0.31,0.96,0.35,2.89,0.36
TCF7L1,NM_031283.1,mRNA,1.59,3.88,15.45,5.17,46.21,4.1
TCF7L2,NM_001146274.1,mRNA,3.6,7.79,38.89,6.12,90.24,7.3
TGFB1,NM_000660.3,mRNA,25.49,50.02,131.18,62.89,431.55,55.6
TGFB2,NM_003238.2,mRNA,5.89,10.5,23.37,11.69,111.19,19.13
TJP1,NM_003257.3,mRNA,22.37,48.9,197.46,64.27,491.56,65.43
TJP2,NM_004817.2,mRNA,0.94,2.09,6.08,2.44,16.96,2.63
TJP3,NM_014428.1,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
TP53,NM_000546.2,mRNA,8.54,16.57,73.66,24.24,221.23,22.43
VAPA,NM_194434.2,mRNA,12.91,32.24,83.09,37.17,315.07,39.07
VAV2,NM_001134398.1,mRNA,3.4,8.13,27.46,11.79,92.28,10.03
VAV3,NM_006113.4,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
VCL,NM_014000.2,mRNA,56.97,104.79,301.34,140.98,1300.38,119.3
WASF1,NM_001024934.1,mRNA,1.69,4.08,16.72,4.42,51.82,6.71
WASF2,NM_006990.2,mRNA,20.65,41.04,199.87,80.83,393.95,32.47
WASL,NM_003941.2,mRNA,5.02,12.73,13.46,17.99,133.82,17.16
YBX3,NM_003651.3,mRNA,8.16,21.48,61.93,25.26,205.63,12.3
YES1,NM_005433.3,mRNA,10.19,23.3,31.37,27.55,235.7,26.13
ZEB1,NM_001128128.1,mRNA,12.88,29.12,77.55,32.33,266.27,40.82
